topmed_label	variable_phv	label	tag_id
Height	7101	 FT008	12
Height	7570	 A51	12
Height	7571	 A52	12
Height	7677	 B14	12
Height	7679	 B16	12
Height	7680	 B17	12
Height	8714	 C417	12
Height	8763	 D402	12
Height	9553	 E025	12
Height	10109	 F008	12
Height	10499	 G441	12
Height	21231	 G3A446	12
Height	55258	 Height	12
Height	56840	 pm207	12
Height	70555	 FU258	12
Height	72337	 H399	12
Height	177539	 g3b0483	12
Height	250288	 e025	12
Height	251062	 g441	12
Height	251535	 h399	12
Height	254284	 j472	12
Height	254766	 fv260	12
Height	255158	 fw305	12
Height	274053	 g3a446	12
Height	274544	 g3a446	12
Height	274883	 FX305	12
Height	275241	 fy305	12
Height	277042	 HGT1	12
Height	277043	 HGT2	12
Height	277171	 HGT1	12
Height	277172	 HGT2	12
Height	277173	 HGT3	12
Height	277174	 HGT4	12
Height	277175	 HGT5	12
Height	277176	 HGT6	12
Height	277177	 HGT7	12
Height	277178	 HGT8	12
Height	277179	 HGT9	12
Weight	632	 MF166	13
Weight	646	 MF180	13
Weight	679	 MF216	13
Weight	746	 MF292	13
Weight	829	 MF380	13
Weight	915	 MF470	13
Weight	541	 MF69	13
Weight	1037	 FA2	13
Weight	1189	 FB9	13
Weight	1366	 FC6	13
Weight	1563	 FD12	13
Weight	1807	 FE67	13
Weight	2022	 FF63	13
Weight	2206	 FG62	13
Weight	2427	 FH62	13
Weight	2670	 FI14	13
Weight	3244	 FJ360	13
Weight	3302	 FK47	13
Weight	3668	 FL009	13
Weight	4084	 FM19	13
Weight	4526	 FN8	13
Weight	5541	 FO007	13
Weight	5921	 FP007	13
Weight	6033	 FQ005	13
Weight	6328	 FR005	13
Weight	6671	 FS005	13
Weight	7098	 FT004	13
Weight	7569	 A50	13
Weight	7676	 B13	13
Weight	7678	 B15	13
Weight	8713	 C416	13
Weight	9100	 D401	13
Weight	9552	 E024	13
Weight	10108	 F007	13
Weight	10498	 G440	13
Weight	21229	 G3A444	13
Weight	55259	 Weight	13
Weight	55291	 WEIGHT20	13
Weight	56838	 pm202	13
Weight	70552	 FU252	13
Weight	72335	 H393	13
Weight	177537	 g3b0481	13
Weight	227264	 weight_kg	13
Weight	227263	 wgt_new	13
Weight	250287	 e024	13
Weight	251061	 g440	13
Weight	251532	 h393	13
Weight	254286	 j474	13
Weight	254763	 fv254	13
Weight	255155	 fw298	13
Weight	274051	 g3a444	13
Weight	274542	 g3a444	13
Weight	274880	 FX298	13
Weight	275238	 fy298	13
Weight	277055	 WGT1	13
Weight	277056	 WGT2	13
Weight	277227	 WGT1	13
Weight	277228	 WGT2	13
Weight	277229	 WGT3	13
Weight	277230	 WGT4	13
Weight	277231	 WGT5	13
Weight	277232	 WGT6	13
Weight	277233	 WGT7	13
Weight	277234	 WGT8	13
Weight	277235	 WGT9	13
Hip circumference	3673	 FL019	16
Hip circumference	4089	 FM29	16
Hip circumference	4531	 FN18	16
Hip circumference	5545	 FO017	16
Hip circumference	5925	 FP016	16
Hip circumference	8768	 D411	16
Hip circumference	9556	 E033	16
Hip circumference	10113	 F017	16
Hip circumference	10503	 G446	16
Hip circumference	55261	 Hip	16
Hip circumference	177545	 g3b0489	16
Hip circumference	250291	 e033	16
Hip circumference	251066	 g446	16
Hip circumference	254293	 j482	16
Hip circumference	277044	 HIP2	16
Hip circumference	277180	 HIP4	16
Hip circumference	277181	 HIP5	16
Hip circumference	277182	 HIP6	16
Hip circumference	277183	 HIP7	16
Hip circumference	277184	 HIP9	16
LDL in blood	1206	 FB29	1
LDL in blood	1381	 FC23	1
LDL in blood	1401	 FC45	1
LDL in blood	1584	 FD39	1
LDL in blood	1591	 FD46	1
LDL in blood	7539	 A12	1
LDL in blood	7975	 B357	1
LDL in blood	8733	 C442	1
LDL in blood	8739	 C446	1
LDL in blood	8740	 C447	1
LDL in blood	24690	 LDLP3	1
LDL in blood	24691	 LDLP2	1
LDL in blood	24692	 LDLP1	1
LDL in blood	24699	 LDLSZ	1
LDL in blood	277026	 CALC_LDL1	1
LDL in blood	277027	 CALC_LDL2	1
LDL in blood	277104	 CALC_LDL1	1
LDL in blood	277105	 CALC_LDL2	1
LDL in blood	277106	 CALC_LDL3	1
LDL in blood	277107	 CALC_LDL4	1
LDL in blood	277108	 CALC_LDL5	1
LDL in blood	277109	 CALC_LDL6	1
LDL in blood	277110	 CALC_LDL7	1
LDL in blood	277111	 CALC_LDL8	1
LDL in blood	277112	 CALC_LDL9	1
Age at enrollment/collection	226251	 AGE	21
BMI	226255	 BMI	14
Geographic site	226256	 CENTER	73
Cigarette smoking	226257	 CIGARETTE_PACK_YEARS	69
Cigarette smoking	226258	 CIGARETTE_USE	69
Gender	226279	 GENDER	22
Height	226281	 HEIGHT	12
Waist-hip ratio	226399	 WAIST_HIP	17
Fasting	253225	 FASTTIME	72
Cigarette smoking	258106	 TBEA1	69
Cigarette smoking	258107	 TBEA3	69
Cigarette smoking	258108	 TBEA4	69
Cigarette smoking	258109	 TBEA5	69
Cigarette smoking	258110	 TBEA5A	69
Cigarette smoking	258111	 TBEA9	69
Triglycerides in blood	253240	 LABA67	3
Total cholesterol in blood	253238	 LABA66	4
HDL in blood	253239	 LABA68	2
LDL in blood	253241	 LABA69	1
LDL in blood	204641	 LDL22	1
LDL in blood	204650	 LDLSIU22	1
LDL in blood	204768	 LDLSIU02	1
LDL in blood	204868	 LDL32	1
LDL in blood	204869	 LDLSIU32	1
LDL in blood	204960	 LDL41	1
LDL in blood	204967	 LDLSIU41	1
HDL in blood	204765	 HDLSIU02	2
HDL in blood	204645	 HDLSIU21	2
HDL in blood	204867	 HDLSIU31	2
HDL in blood	204966	 HDLSIU41	2
Total cholesterol in blood	207635	 LIPA01	4
Triglycerides in blood	207636	 LIPA02	3
BMI	204719	 BMI01	14
BMI	204637	 BMI21	14
BMI	204836	 BMI32	14
BMI	205014	 BMI41	14
BMI	215389	 BMI_S1	14
Weight	203154	 ANTA04	13
Weight	203166	 ANTB01	13
Weight	203176	 ANTC2	13
Weight	203187	 ANTD2	13
Height	203151	 ANTA01	12
Height	203175	 ANTC1	12
Height	203193	 ANTD1	12
Weight	214061	 WEIGHT	13
Weight	214094	 WEIGHT20	13
Gender	204634	 GENDER	22
Gender	204711	 GENDER	22
Gender	204963	 GENDER	22
Geographic site	204692	 CENTERID	73
Geographic site	204813	 CENTERID	73
Geographic site	204920	 CENTERID	73
Geographic site	205016	 CENTERID	73
Race/ancestry/ethnicity	204633	 RACEGRP	23
Race/ancestry/ethnicity	204710	 RACEGRP	23
Race/ancestry/ethnicity	204962	 RACEGRP	23
Race/ancestry/ethnicity	214052	 RACE	23
Total cholesterol in blood	204644	 TCHSIU21	4
Total cholesterol in blood	204875	 TCHSIU31	4
Total cholesterol in blood	204965	 TCHSIU41	4
Triglycerides in blood	204651	 TRGSIU21	3
Triglycerides in blood	204877	 TRGSIU31	3
Triglycerides in blood	204968	 TRGSIU41	3
Triglycerides in blood	207649	 LIPB02A	3
Triglycerides in blood	207661	 LIPC2A	3
Triglycerides in blood	207676	 LIPD2A	3
Triglycerides in blood	214066	 TRIG	3
Total cholesterol in blood	214064	 CHOL	4
HDL in blood	214065	 HDL	2
HDL in blood	207651	 LIPB03A	2
Total cholesterol in blood	207660	 LIPC1A	4
HDL in blood	207662	 LIPC3A	2
HDL in blood	207677	 LIPD3A	2
Total cholesterol in blood	207675	 LIPD1A	4
Total cholesterol in blood	207647	 LIPB01A	4
Hemoglobin	127615	 HEMOGLOBIN	43
Platelet count	127616	 PLATELET	44
White blood cell count	127631	 WBC	46
Red blood cell count	127629	 RED_CELL_COUNT	45
Hematocrit	127614	 HEMATOCRIT	42
Blood glucose	127613	 GLUCOSE	31
Age at enrollment/collection	126009	 AGE01	21
Creatinine in blood	127612	 CREATININE	54
Clinic visit	127610	 VISIT	71
HbA1c	125929	 GLYHB	33
CRP in blood	125940	 Hscrp_cresult	52
CRP in blood	125941	 HSCRP	52
Insulin in blood	125953	 Insul_cresult	32
Insulin in blood	125954	 INSULIN	32
Clinic visit	125926	 VISIT	71
HbA1c	125938	 glyhb_cresult	33
Fasting	204681	 FAST0823	72
Fasting	204682	 FAST1223	72
Fasting	204732	 FAST0802	72
Fasting	204733	 FAST1202	72
Fasting	204902	 FAST0834	72
Fasting	204903	 FAST1234	72
Fasting	204956	 FAST0841	72
Fasting	204957	 FAST1241	72
Blood glucose	203882	 CHMB07	31
Blood glucose	204643	 GLUSIU21	31
Blood glucose	204730	 GLUCOS01	31
Blood glucose	204734	 GLUSIU01	31
Blood glucose	204969	 GLUSIU41	31
Blood glucose	204970	 GL2SIU41	31
Fasting	206629	 GTSA3	72
Fasting	206637	 GTSB3	72
Blood glucose	207663	 LIPC4A	31
Blood glucose	207678	 LIPD4A	31
Blood glucose	207679	 LIPD5A	31
Creatinine in blood	203867	 CHMA09	54
Creatinine in blood	203883	 CHMB08	54
Creatinine in blood	207682	 LIPD6A	54
White blood cell count	207257	 HMTA03	46
White blood cell count	207272	 HMTB03	46
White blood cell count	207286	 HMTC2	46
White blood cell count	207298	 HMTC2	46
Red blood cell count	207287	 HMTC3	45
Red blood cell count	207299	 HMTC3	45
Platelet count	207258	 HMTA04	44
Platelet count	207273	 HMTB04	44
Platelet count	207294	 HMTC10	44
Platelet count	207306	 HMTC10	44
von Willebrand factor	206654	 HEMA17	50
Factor VIII	206649	 HEMA07	49
Factor VII	206651	 HEMA11	48
Factor VII	206657	 HEMC01	48
Fibrinogen in blood	206650	 HEMA09	47
Fibrinogen in blood	206658	 HEMC03	47
Waist circumference	203159	 ANTA07A	15
Waist circumference	203171	 ANTB04A	15
Waist circumference	203177	 ANTC3A	15
Waist circumference	203188	 ANTD3A	15
Waist circumference	214062	 WAIST	15
Waist-hip ratio	204640	 WSTHPR21	17
Waist-hip ratio	204723	 WSTHPR01	17
Waist-hip ratio	204872	 WSTHPR31	17
Waist-hip ratio	204954	 WSTHPR41	17
Resting arm systolic BP	210281	 SBPA12	7
Resting arm systolic BP	210284	 SBPA15	7
Resting arm systolic BP	210287	 SBPA18	7
Resting arm systolic BP	210290	 SBPA21	7
Resting arm systolic BP	210307	 SBPB12	7
Resting arm systolic BP	210310	 SBPB15	7
Resting arm systolic BP	210313	 SBPB18	7
Resting arm systolic BP	210316	 SBPB21	7
Resting arm systolic BP	210331	 SBPC13	7
Resting arm systolic BP	210334	 SBPC16	7
Resting arm systolic BP	210337	 SBPC19	7
Resting arm systolic BP	210340	 SBPC22	7
Resting arm systolic BP	210357	 SBPD13	7
Resting arm systolic BP	210360	 SBPD16	7
Resting arm systolic BP	210363	 SBPD19	7
Resting arm systolic BP	214058	 SYSTBP	7
Resting arm systolic BP	214088	 SYST120	7
Resting arm systolic BP	214090	 SYST220	7
Resting arm systolic BP	214092	 SYST320	7
Resting arm systolic BP	210283	 SBPA14	7
Resting arm systolic BP	210286	 SBPA17	7
Resting arm systolic BP	210289	 SBPA20	7
Resting arm systolic BP	210309	 SBPB14	7
Resting arm systolic BP	210312	 SBPB17	7
Resting arm systolic BP	210315	 SBPB20	7
Resting arm systolic BP	210333	 SBPC15	7
Resting arm systolic BP	210336	 SBPC18	7
Resting arm systolic BP	210339	 SBPC21	7
Resting arm systolic BP	210359	 SBPD15	7
Resting arm systolic BP	210362	 SBPD18	7
Resting arm diastolic BP	210282	 SBPA13	8
Resting arm diastolic BP	210285	 SBPA16	8
Resting arm diastolic BP	210288	 SBPA19	8
Resting arm diastolic BP	210291	 SBPA22	8
Resting arm diastolic BP	210308	 SBPB13	8
Resting arm diastolic BP	210311	 SBPB16	8
Resting arm diastolic BP	210314	 SBPB19	8
Resting arm diastolic BP	210317	 SBPB22	8
Resting arm diastolic BP	210332	 SBPC14	8
Resting arm diastolic BP	210335	 SBPC17	8
Resting arm diastolic BP	210338	 SBPC20	8
Resting arm diastolic BP	210341	 SBPC23	8
Resting arm diastolic BP	210358	 SBPD14	8
Resting arm diastolic BP	210361	 SBPD17	8
Resting arm diastolic BP	210364	 SBPD20	8
Resting arm systolic BP	202844	 ARMSBP13	7
Resting arm systolic BP	202853	 ARMSBP33	7
Resting arm systolic BP	202863	 ARMSBP43	7
Resting arm diastolic BP	214059	 DIASBP	8
Resting arm diastolic BP	214089	 DIAS120	8
Resting arm diastolic BP	214091	 DIAS220	8
Resting arm diastolic BP	214093	 DIAS320	8
Diabetes	204631	 DIABTS22	34
Diabetes	204632	 DIABTS23	34
Diabetes	204752	 DIABTS02	34
Diabetes	204753	 DIABTS03	34
Diabetes	204898	 DIABTS33	34
Diabetes	204899	 DIABTS34	34
Diabetes	204958	 DIABTS41	34
Diabetes	204959	 DIABTS42	34
Insulin in blood	203874	 CHMA16	32
Insulin in blood	204739	 INSSIU01	32
Insulin in blood	207683	 LIPD7A	32
Insulin in blood	214148	 INSULN1	32
Hip circumference	203160	 ANTA07B	16
Hip circumference	203172	 ANTB04B	16
Hip circumference	203178	 ANTC3B	16
Hip circumference	203189	 ANTD3B	16
FVC	208817	 PFTA24	62
FEV1	208819	 PFTA26	63
